/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Wed Feb 26 11:28:38 CET 2025
No. of cores = 96
No. of processes = 96
No. of OMP threads = 1
opt_iter: 183, opt_time: 78.6 (s), beta: 8, C: 5.513, V: 0.080, U: 0.000, change: 0.020
opt_iter: 184, opt_time: 77.9 (s), beta: 8, C: 5.510, V: 0.080, U: 0.000, change: 0.020
opt_iter: 185, opt_time: 78.1 (s), beta: 8, C: 5.507, V: 0.080, U: 0.000, change: 0.020
opt_iter: 186, opt_time: 78.1 (s), beta: 8, C: 5.504, V: 0.080, U: 0.000, change: 0.020
opt_iter: 187, opt_time: 77.7 (s), beta: 8, C: 5.501, V: 0.080, U: 0.000, change: 0.020
opt_iter: 188, opt_time: 78.2 (s), beta: 8, C: 5.498, V: 0.080, U: 0.000, change: 0.020
opt_iter: 189, opt_time: 77.9 (s), beta: 8, C: 5.495, V: 0.080, U: 0.000, change: 0.020
opt_iter: 190, opt_time: 78 (s), beta: 8, C: 5.492, V: 0.080, U: 0.000, change: 0.020
opt_iter: 191, opt_time: 77.9 (s), beta: 8, C: 5.489, V: 0.080, U: 0.000, change: 0.020
opt_iter: 192, opt_time: 77.6 (s), beta: 8, C: 5.487, V: 0.080, U: 0.000, change: 0.020
opt_iter: 193, opt_time: 77.6 (s), beta: 8, C: 5.484, V: 0.080, U: 0.000, change: 0.020
opt_iter: 194, opt_time: 77.5 (s), beta: 8, C: 5.482, V: 0.080, U: 0.000, change: 0.020
opt_iter: 195, opt_time: 77.6 (s), beta: 8, C: 5.479, V: 0.080, U: 0.000, change: 0.020
opt_iter: 196, opt_time: 77.8 (s), beta: 8, C: 5.477, V: 0.080, U: 0.000, change: 0.020
opt_iter: 197, opt_time: 77.5 (s), beta: 8, C: 5.475, V: 0.080, U: 0.000, change: 0.020
opt_iter: 198, opt_time: 77.3 (s), beta: 8, C: 5.472, V: 0.080, U: 0.000, change: 0.020
opt_iter: 199, opt_time: 77.1 (s), beta: 8, C: 5.470, V: 0.080, U: 0.000, change: 0.020
opt_iter: 200, opt_time: 81 (s), beta: 16, C: 4.113, V: 0.078, U: 0.000, change: 0.020
opt_iter: 201, opt_time: 81 (s), beta: 16, C: 4.002, V: 0.080, U: 0.000, change: 0.020
opt_iter: 202, opt_time: 81.2 (s), beta: 16, C: 3.997, V: 0.080, U: 0.000, change: 0.020
opt_iter: 203, opt_time: 80.6 (s), beta: 16, C: 3.993, V: 0.080, U: 0.000, change: 0.020
opt_iter: 204, opt_time: 80.7 (s), beta: 16, C: 3.989, V: 0.080, U: 0.000, change: 0.020
opt_iter: 205, opt_time: 80.8 (s), beta: 16, C: 3.986, V: 0.080, U: 0.000, change: 0.020
opt_iter: 206, opt_time: 81 (s), beta: 16, C: 3.982, V: 0.080, U: 0.000, change: 0.020
opt_iter: 207, opt_time: 81.4 (s), beta: 16, C: 3.979, V: 0.080, U: 0.000, change: 0.020
opt_iter: 208, opt_time: 81.4 (s), beta: 16, C: 3.976, V: 0.080, U: 0.000, change: 0.020
opt_iter: 209, opt_time: 80.9 (s), beta: 16, C: 3.973, V: 0.080, U: 0.000, change: 0.020
opt_iter: 210, opt_time: 80.4 (s), beta: 16, C: 3.971, V: 0.080, U: 0.000, change: 0.020
opt_iter: 211, opt_time: 78.6 (s), beta: 16, C: 3.968, V: 0.080, U: 0.000, change: 0.020
opt_iter: 212, opt_time: 78.7 (s), beta: 16, C: 3.966, V: 0.080, U: 0.000, change: 0.020
opt_iter: 213, opt_time: 78.4 (s), beta: 16, C: 3.963, V: 0.080, U: 0.000, change: 0.020
opt_iter: 214, opt_time: 78.6 (s), beta: 16, C: 3.961, V: 0.080, U: 0.000, change: 0.020
